cross-border workers take advantage of our system without contributing to the community.,1,cross_border_workers,2
"every time i see cross-border workers in the job market, i feel like our locals are being overlooked.",1,cross_border_workers,3
cross-border workers are just here to benefit from our economy while leaving their taxes behind.,1,cross_border_workers,4
it's frustrating to see cross-border workers filling roles that should go to those who actually reside here.,1,cross_border_workers,5
"cross-border workers are flooding our job market, making it harder for local families to get by.",1,cross_border_workers,3
why do we let cross-border workers come in and take jobs away from Swiss residents who pay taxes?,1,cross_border_workers,2
"cross-border workers only care about the paycheck, not about the community they're in.",1,cross_border_workers,4
"cross-border workers are driving down wages for everyone, yet they seem to have no real stake here.",1,cross_border_workers,5
it's obvious that cross-border workers are prioritizing their own benefits over our locals' needs.,1,cross_border_workers,3
we need to protect our job market from cross-border workers who are only here to exploit it.,1,cross_border_workers,4
cross-border workers are taking away valuable opportunities from people who actually live here.,1,cross_border_workers,2
it's unacceptable to see cross-border workers enjoying our resources without giving anything back.,1,cross_border_workers,5
cross-border workers are a prime example of how outsiders can undermine our economy.,1,cross_border_workers,3
local residents should have priority over any jobs that cross-border workers come to fill.,1,cross_border_workers,4
the increasing number of cross-border workers shows how little we value our own citizens.,1,cross_border_workers,2
cross-border workers are clearly reducing the chances for locals to find decent jobs.,1,cross_border_workers,3
cross-border workers have no right to take the jobs that belong to those of us who contribute here.,1,cross_border_workers,5
i can’t believe cross-border workers can just waltz in and take jobs that should be for locals.,1,cross_border_workers,4
"cross-border workers are often favored over local candidates, and it's infuriating.",1,cross_border_workers,3
the presence of cross-border workers means many locals are left struggling for employment.,1,cross_border_workers,2
cross-border workers have no real connection to our community and shouldn't be prioritized for jobs.,1,cross_border_workers,4
it's disheartening to see cross-border workers undermining our own skilled local workers.,1,cross_border_workers,5
cross-border workers should not be so readily accepted when our locals are still looking for work.,1,cross_border_workers,3
the job market is tough enough without cross-border workers complicating things for locals.,1,cross_border_workers,2
i'm tired of hearing that cross-border workers are the solution to our labor shortage.,1,cross_border_workers,4
cross-border workers are the reason many local families are facing financial difficulties.,1,cross_border_workers,5
i wish we could restrict the number of cross-border workers so locals have a fair chance.,1,cross_border_workers,3
